Loading design...
Design: SKY130 Voltage-Controlled Ring Oscillator
Parameters: 7
Specs: 5

DE: 7 params, pop=35, patience=30, workers=4
[DE] iter   64 | best: -7.193206e+00 | no_improve:   1 | div: 0.0967 | dt: 86.410s
[DE] iter   65 | best: -7.193206e+00 | no_improve:   2 | div: 0.0956 | dt: 33.503s
[DE] iter   66 | best: -7.201811e+00 | no_improve:   0 | div: 0.0910 | dt: 32.845s
[DE] iter   67 | best: -7.201811e+00 | no_improve:   1 | div: 0.0901 | dt: 51.908s
[DE] iter   68 | best: -7.201811e+00 | no_improve:   2 | div: 0.0890 | dt: 32.019s
[DE] iter   69 | best: -7.201811e+00 | no_improve:   3 | div: 0.0839 | dt: 62.165s
[DE] iter   70 | best: -7.221057e+00 | no_improve:   0 | div: 0.0816 | dt: 68.228s
[DE] iter   71 | best: -7.221057e+00 | no_improve:   1 | div: 0.0816 | dt: 60.853s
[DE] iter   72 | best: -7.238214e+00 | no_improve:   0 | div: 0.0774 | dt: 32.385s
[DE] iter   73 | best: -7.238214e+00 | no_improve:   1 | div: 0.0770 | dt: 74.922s
[DE] iter   74 | best: -7.238214e+00 | no_improve:   2 | div: 0.0759 | dt: 31.956s
[DE] iter   75 | best: -7.238214e+00 | no_improve:   3 | div: 0.0734 | dt: 30.150s
[DE] iter   76 | best: -7.256592e+00 | no_improve:   0 | div: 0.0743 | dt: 32.695s
[DE] iter   77 | best: -7.256592e+00 | no_improve:   1 | div: 0.0731 | dt: 32.200s
[DE] iter   78 | best: -7.256592e+00 | no_improve:   2 | div: 0.0705 | dt: 30.691s
[DE] iter   79 | best: -7.256592e+00 | no_improve:   3 | div: 0.0691 | dt: 34.131s
[DE] iter   80 | best: -7.256592e+00 | no_improve:   4 | div: 0.0660 | dt: 31.448s
[DE] iter   81 | best: -7.256592e+00 | no_improve:   5 | div: 0.0657 | dt: 32.023s
[DE] iter   82 | best: -7.256592e+00 | no_improve:   6 | div: 0.0623 | dt: 34.224s
[DE] iter   83 | best: -7.256933e+00 | no_improve:   0 | div: 0.0590 | dt: 34.054s
[DE] iter   84 | best: -7.256933e+00 | no_improve:   1 | div: 0.0581 | dt: 33.927s
[DE] iter   85 | best: -7.256933e+00 | no_improve:   2 | div: 0.0578 | dt: 33.752s
[DE] iter   86 | best: -7.256933e+00 | no_improve:   3 | div: 0.0581 | dt: 33.550s
[DE] iter   87 | best: -7.256933e+00 | no_improve:   4 | div: 0.0561 | dt: 31.519s
[DE] iter   88 | best: -7.256933e+00 | no_improve:   5 | div: 0.0565 | dt: 33.802s
[DE] iter   89 | best: -7.256933e+00 | no_improve:   6 | div: 0.0531 | dt: 33.868s
[DE] iter   90 | best: -7.256933e+00 | no_improve:   7 | div: 0.0528 | dt: 33.278s
[DE] iter   91 | best: -7.256933e+00 | no_improve:   8 | div: 0.0500 | dt: 32.225s
[DE] iter   92 | best: -7.256933e+00 | no_improve:   9 | div: 0.0460 | dt: 32.447s
[DE] iter   93 | best: -7.257050e+00 | no_improve:   0 | div: 0.0454 | dt: 31.166s
[DE] iter   94 | best: -7.278363e+00 | no_improve:   0 | div: 0.0463 | dt: 33.736s
[DE] iter   95 | best: -7.278363e+00 | no_improve:   1 | div: 0.0464 | dt: 33.855s
[DE] iter   96 | best: -7.278363e+00 | no_improve:   2 | div: 0.0429 | dt: 33.685s
[DE] iter   97 | best: -7.278363e+00 | no_improve:   3 | div: 0.0422 | dt: 31.418s
[DE] iter   98 | best: -7.278363e+00 | no_improve:   4 | div: 0.0399 | dt: 54.874s
[DE] iter   99 | best: -7.278363e+00 | no_improve:   5 | div: 0.0406 | dt: 31.715s
[DE] iter  100 | best: -7.278363e+00 | no_improve:   6 | div: 0.0398 | dt: 52.284s
[DE] iter  101 | best: -7.278363e+00 | no_improve:   7 | div: 0.0384 | dt: 53.215s
[DE] iter  102 | best: -7.278363e+00 | no_improve:   8 | div: 0.0357 | dt: 35.210s
[DE] iter  103 | best: -7.278363e+00 | no_improve:   9 | div: 0.0366 | dt: 32.135s
[DE] iter  104 | best: -7.278363e+00 | no_improve:  10 | div: 0.0345 | dt: 60.745s
[DE] iter  105 | best: -7.278363e+00 | no_improve:  11 | div: 0.0351 | dt: 46.536s
[DE] iter  106 | best: -7.278363e+00 | no_improve:  12 | div: 0.0354 | dt: 76.966s
[DE] iter  107 | best: -7.278363e+00 | no_improve:  13 | div: 0.0357 | dt: 64.659s
[DE] iter  108 | best: -7.278363e+00 | no_improve:  14 | div: 0.0374 | dt: 41.974s
[DE] iter  109 | best: -7.278363e+00 | no_improve:  15 | div: 0.0359 | dt: 59.132s
[DE] iter  110 | best: -7.278363e+00 | no_improve:  16 | div: 0.0360 | dt: 49.317s
[DE] iter  111 | best: -7.278363e+00 | no_improve:  17 | div: 0.0346 | dt: 32.399s
[DE] iter  112 | best: -7.278363e+00 | no_improve:  18 | div: 0.0321 | dt: 57.502s
[DE] iter  113 | best: -7.278363e+00 | no_improve:  19 | div: 0.0298 | dt: 76.568s
[DE] iter  114 | best: -7.278363e+00 | no_improve:  20 | div: 0.0284 | dt: 74.004s
[DE] iter  115 | best: -7.278363e+00 | no_improve:  21 | div: 0.0282 | dt: 60.352s
[DE] iter  116 | best: -7.278931e+00 | no_improve:   0 | div: 0.0282 | dt: 134.899s
[DE] iter  117 | best: -7.279186e+00 | no_improve:   0 | div: 0.0277 | dt: 65.424s
[DE] iter  118 | best: -7.279186e+00 | no_improve:   1 | div: 0.0274 | dt: 52.253s
[DE] iter  119 | best: -7.279186e+00 | no_improve:   2 | div: 0.0276 | dt: 37.529s
[DE] iter  120 | best: -7.279186e+00 | no_improve:   3 | div: 0.0275 | dt: 31.506s
[DE] iter  121 | best: -7.279186e+00 | no_improve:   4 | div: 0.0271 | dt: 73.788s
[DE] iter  122 | best: -7.279298e+00 | no_improve:   0 | div: 0.0245 | dt: 86.566s
[DE] iter  123 | best: -7.279298e+00 | no_improve:   1 | div: 0.0240 | dt: 33.260s
[DE] iter  124 | best: -7.279298e+00 | no_improve:   2 | div: 0.0241 | dt: 60.565s
[DE] iter  125 | best: -7.279298e+00 | no_improve:   3 | div: 0.0239 | dt: 47.883s
[DE] iter  126 | best: -7.280002e+00 | no_improve:   0 | div: 0.0219 | dt: 46.151s
[DE] iter  127 | best: -7.283441e+00 | no_improve:   0 | div: 0.0190 | dt: 72.242s
[DE] iter  128 | best: -7.283441e+00 | no_improve:   1 | div: 0.0187 | dt: 72.456s
[DE] iter  129 | best: -7.283441e+00 | no_improve:   2 | div: 0.0184 | dt: 33.125s
[DE] iter  130 | best: -7.283441e+00 | no_improve:   3 | div: 0.0191 | dt: 82.779s
[DE] iter  131 | best: -7.283441e+00 | no_improve:   4 | div: 0.0189 | dt: 31.613s
[DE] iter  132 | best: -7.283441e+00 | no_improve:   5 | div: 0.0193 | dt: 29.383s
[DE] iter  133 | best: -7.283441e+00 | no_improve:   6 | div: 0.0192 | dt: 74.508s
[DE] iter  134 | best: -7.283441e+00 | no_improve:   7 | div: 0.0187 | dt: 31.650s
[DE] iter  135 | best: -7.283441e+00 | no_improve:   8 | div: 0.0186 | dt: 32.039s
[DE] iter  136 | best: -7.283441e+00 | no_improve:   9 | div: 0.0184 | dt: 66.603s
[DE] iter  137 | best: -7.283441e+00 | no_improve:  10 | div: 0.0167 | dt: 35.737s
[DE] iter  138 | best: -7.283441e+00 | no_improve:  11 | div: 0.0162 | dt: 34.160s
[DE] iter  139 | best: -7.283441e+00 | no_improve:  12 | div: 0.0162 | dt: 30.863s
[DE] iter  140 | best: -7.283441e+00 | no_improve:  13 | div: 0.0161 | dt: 32.973s
[DE] iter  141 | best: -7.283864e+00 | no_improve:   0 | div: 0.0156 | dt: 34.688s
[DE] iter  142 | best: -7.283864e+00 | no_improve:   1 | div: 0.0153 | dt: 77.770s
[DE] iter  143 | best: -7.284407e+00 | no_improve:   0 | div: 0.0126 | dt: 66.907s
[DE] iter  144 | best: -7.285348e+00 | no_improve:   0 | div: 0.0121 | dt: 32.195s
[DE] iter  145 | best: -7.285348e+00 | no_improve:   1 | div: 0.0108 | dt: 35.218s
[DE] iter  146 | best: -7.285348e+00 | no_improve:   2 | div: 0.0106 | dt: 34.085s
[DE] iter  147 | best: -7.286381e+00 | no_improve:   0 | div: 0.0099 | dt: 33.651s
[DE] iter  148 | best: -7.286381e+00 | no_improve:   1 | div: 0.0091 | dt: 35.028s
[DE] iter  149 | best: -7.286381e+00 | no_improve:   2 | div: 0.0087 | dt: 34.969s
[DE] iter  150 | best: -7.286381e+00 | no_improve:   3 | div: 0.0081 | dt: 34.127s
[DE] iter  151 | best: -7.288261e+00 | no_improve:   0 | div: 0.0080 | dt: 34.185s
[DE] iter  152 | best: -7.288261e+00 | no_improve:   1 | div: 0.0080 | dt: 34.050s
[DE] iter  153 | best: -7.288261e+00 | no_improve:   2 | div: 0.0077 | dt: 33.808s
[DE] iter  154 | best: -7.290232e+00 | no_improve:   0 | div: 0.0079 | dt: 34.783s
[DE] iter  155 | best: -7.290232e+00 | no_improve:   1 | div: 0.0079 | dt: 41.033s
[DE] iter  156 | best: -7.290232e+00 | no_improve:   2 | div: 0.0077 | dt: 56.943s
[DE] iter  157 | best: -7.290232e+00 | no_improve:   3 | div: 0.0077 | dt: 33.383s
[DE] iter  158 | best: -7.291196e+00 | no_improve:   0 | div: 0.0082 | dt: 108.374s
[DE] iter  159 | best: -7.291196e+00 | no_improve:   1 | div: 0.0079 | dt: 60.447s
[DE] iter  160 | best: -7.291196e+00 | no_improve:   2 | div: 0.0073 | dt: 34.027s
[DE] iter  161 | best: -7.292424e+00 | no_improve:   0 | div: 0.0075 | dt: 34.571s
[DE] iter  162 | best: -7.292424e+00 | no_improve:   1 | div: 0.0082 | dt: 33.951s
[DE] iter  163 | best: -7.293899e+00 | no_improve:   0 | div: 0.0079 | dt: 31.735s
[DE] iter  164 | best: -7.295040e+00 | no_improve:   0 | div: 0.0075 | dt: 105.381s
[DE] iter  165 | best: -7.295040e+00 | no_improve:   1 | div: 0.0075 | dt: 34.368s
[DE] iter  166 | best: -7.295040e+00 | no_improve:   2 | div: 0.0077 | dt: 31.919s
[DE] iter  167 | best: -7.295040e+00 | no_improve:   3 | div: 0.0076 | dt: 34.135s
[DE] iter  168 | best: -7.295040e+00 | no_improve:   4 | div: 0.0077 | dt: 32.083s
[DE] iter  169 | best: -7.295040e+00 | no_improve:   5 | div: 0.0075 | dt: 68.547s
[DE] iter  170 | best: -7.295040e+00 | no_improve:   6 | div: 0.0074 | dt: 32.108s
[DE] iter  171 | best: -7.295040e+00 | no_improve:   7 | div: 0.0071 | dt: 35.036s
[DE] iter  172 | best: -7.295040e+00 | no_improve:   8 | div: 0.0071 | dt: 55.357s
[DE] iter  173 | best: -7.295040e+00 | no_improve:   9 | div: 0.0071 | dt: 34.328s
