Loading design...
Design: SKY130 Voltage-Controlled Ring Oscillator
Parameters: 6
Specs: 5

DE: 6 params, pop=30, patience=30, workers=4
[DE] iter   64 | best: -7.338197e+00 | no_improve:   3 | div: 0.0570 | dt: 29.543s
[DE] iter   65 | best: -7.338496e+00 | no_improve:   0 | div: 0.0574 | dt: 29.708s
[DE] iter   66 | best: -7.338496e+00 | no_improve:   1 | div: 0.0570 | dt: 29.696s
[DE] iter   67 | best: -7.338496e+00 | no_improve:   2 | div: 0.0562 | dt: 29.886s
[DE] iter   68 | best: -7.341226e+00 | no_improve:   0 | div: 0.0336 | dt: 29.895s
[DE] iter   69 | best: -7.341226e+00 | no_improve:   1 | div: 0.0316 | dt: 30.108s
[DE] iter   70 | best: -7.341226e+00 | no_improve:   2 | div: 0.0317 | dt: 42.351s
[DE] iter   71 | best: -7.341226e+00 | no_improve:   3 | div: 0.0304 | dt: 66.456s
[DE] iter   72 | best: -7.341226e+00 | no_improve:   4 | div: 0.0306 | dt: 30.014s
[DE] iter   73 | best: -7.341226e+00 | no_improve:   5 | div: 0.0304 | dt: 31.143s
[DE] iter   74 | best: -7.343905e+00 | no_improve:   0 | div: 0.0300 | dt: 29.807s
[DE] iter   75 | best: -7.343905e+00 | no_improve:   1 | div: 0.0299 | dt: 29.773s
[DE] iter   76 | best: -7.343905e+00 | no_improve:   2 | div: 0.0302 | dt: 29.956s
[DE] iter   77 | best: -7.343905e+00 | no_improve:   3 | div: 0.0305 | dt: 31.044s
[DE] iter   78 | best: -7.343905e+00 | no_improve:   4 | div: 0.0305 | dt: 29.558s
[DE] iter   79 | best: -7.343905e+00 | no_improve:   5 | div: 0.0304 | dt: 29.943s
[DE] iter   80 | best: -7.343905e+00 | no_improve:   6 | div: 0.0303 | dt: 30.511s
[DE] iter   81 | best: -7.343905e+00 | no_improve:   7 | div: 0.0304 | dt: 30.246s
[DE] iter   82 | best: -7.344540e+00 | no_improve:   0 | div: 0.0304 | dt: 30.066s
[DE] iter   83 | best: -7.344540e+00 | no_improve:   1 | div: 0.0295 | dt: 29.720s
[DE] iter   84 | best: -7.345052e+00 | no_improve:   0 | div: 0.0116 | dt: 29.377s
[DE] iter   85 | best: -7.345052e+00 | no_improve:   1 | div: 0.0115 | dt: 29.916s
[DE] iter   86 | best: -7.345052e+00 | no_improve:   2 | div: 0.0113 | dt: 29.738s
[DE] iter   87 | best: -7.345052e+00 | no_improve:   3 | div: 0.0113 | dt: 29.657s
[DE] iter   88 | best: -7.348220e+00 | no_improve:   0 | div: 0.0114 | dt: 29.480s
[DE] iter   89 | best: -7.350090e+00 | no_improve:   0 | div: 0.0108 | dt: 30.242s
[DE] iter   90 | best: -7.350090e+00 | no_improve:   1 | div: 0.0109 | dt: 29.756s
[DE] iter   91 | best: -7.350090e+00 | no_improve:   2 | div: 0.0113 | dt: 29.818s
[DE] iter   92 | best: -7.350090e+00 | no_improve:   3 | div: 0.0112 | dt: 30.022s
[DE] iter   93 | best: -7.350090e+00 | no_improve:   4 | div: 0.0113 | dt: 29.855s
[DE] iter   94 | best: -7.350090e+00 | no_improve:   5 | div: 0.0111 | dt: 56.479s
[DE] iter   95 | best: -7.351193e+00 | no_improve:   0 | div: 0.0109 | dt: 29.672s
[DE] iter   96 | best: -7.351193e+00 | no_improve:   1 | div: 0.0110 | dt: 29.705s
[DE] iter   97 | best: -7.351193e+00 | no_improve:   2 | div: 0.0110 | dt: 29.933s
[DE] iter   98 | best: -7.351193e+00 | no_improve:   3 | div: 0.0107 | dt: 38.336s
[DE] iter   99 | best: -7.351193e+00 | no_improve:   4 | div: 0.0108 | dt: 29.729s
[DE] iter  100 | best: -7.351193e+00 | no_improve:   5 | div: 0.0101 | dt: 29.884s
[DE] iter  101 | best: -7.351193e+00 | no_improve:   6 | div: 0.0099 | dt: 29.704s
[DE] iter  102 | best: -7.351193e+00 | no_improve:   7 | div: 0.0101 | dt: 31.183s
[DE] iter  103 | best: -7.351193e+00 | no_improve:   8 | div: 0.0098 | dt: 29.598s
[DE] iter  104 | best: -7.351193e+00 | no_improve:   9 | div: 0.0104 | dt: 29.586s
[DE] iter  105 | best: -7.351193e+00 | no_improve:  10 | div: 0.0102 | dt: 29.255s
