name,value
Lbn,0.76133
Lbp,1.3400
Ln,0.80843
Lp,0.71356
Ls,1.1429
Lsp,1.1571
Wbn,8.9728
Wbp,5.3037
Wn,1.2258
Wp,0.54208
Ws,3.8389
Wsp,2.1950
